"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","imprinted_status"
"1","ENSG00000186827","TNFRSF4","1",1211340,1214153,"normal"
"2","ENSG00000186891","TNFRSF18","1",1203508,1206592,"normal"
"3","ENSG00000160072","ATAD3B","1",1471765,1497848,"normal"
"4","ENSG00000260179","","1",1249777,1251334,"normal"
"5","ENSG00000234396","","1",2212523,2220738,"normal"
"6","ENSG00000225972","MTND1P23","1",629062,629433,"normal"
"7","ENSG00000224315","RPL7P7","1",8786211,8786913,"normal"
"8","ENSG00000198744","MTCO3P12","1",634376,634922,"normal"
"9","ENSG00000279928","DDX11L17","1",182696,184174,"normal"
"10","ENSG00000228037","","1",2581560,2584533,"normal"
"11","ENSG00000142611","PRDM16","1",3069168,3438621,"normal"
"12","ENSG00000225630","MTND2P28","1",629640,630683,"normal"
"13","ENSG00000131584","ACAP3","1",1292390,1309609,"normal"
"14","ENSG00000227589","TP73-AS3","1",3658938,3668772,"normal"
"15","ENSG00000237402","CAMTA1-IT1","1",7368942,7370270,"normal"
"16","ENSG00000284616","","1",5301928,5307394,"normal"
"17","ENSG00000169972","PUSL1","1",1308597,1311677,"normal"
"18","ENSG00000157911","PEX10","1",2403964,2413797,"normal"
"19","ENSG00000269896","","1",2350414,2352820,"normal"
"20","ENSG00000237973","MTCO1P12","1",631074,632616,"normal"
"21","ENSG00000224051","CPTP","1",1324756,1328896,"normal"
"22","ENSG00000228463","","1",257864,359681,"normal"
"23","ENSG00000260972","","1",5492978,5494674,"normal"
"24","ENSG00000157933","SKI","1",2228319,2310213,"normal"
"25","ENSG00000162591","MEGF6","1",3487951,3611508,"normal"
"26","ENSG00000224340","","1",10054445,10054781,"normal"
"27","ENSG00000270035","","1",7698303,7698872,"normal"
"28","ENSG00000169962","TAS1R3","1",1331280,1335314,"normal"
"29","ENSG00000226545","","1",8798475,8799506,"normal"
"30","ENSG00000233653","CICP7","1",487101,489906,"normal"
"31","ENSG00000268663","WBP1LP6","1",674842,675265,"normal"
"32","ENSG00000226374","LINC01345","1",3944547,3949024,"normal"
"33","ENSG00000116285","ERRFI1","1",8004404,8026309,"normal"
"34","ENSG00000229280","EEF1DP6","1",4175528,4175899,"normal"
"35","ENSG00000142655","PEX14","1",10472288,10630758,"normal"
"36","ENSG00000232596","LINC01646","1",4571481,4594016,"normal"
"37","ENSG00000235054","LINC01777","1",4412027,4424689,"normal"
"38","ENSG00000232663","","1",8909742,8909904,"normal"
"39","ENSG00000284646","","1",11311734,11319093,"normal"
"40","ENSG00000240409","MTATP8P1","1",633535,633741,"normal"
"41","ENSG00000229344","MTCO2P12","1",632757,633438,"normal"
"42","ENSG00000231510","LINC02782","1",5086459,5090899,"normal"
"43","ENSG00000149527","PLCH2","1",2425980,2505532,"normal"
"44","ENSG00000284739","","1",4963954,4973298,"normal"
"45","ENSG00000171621","SPSB1","1",9292894,9369532,"normal"
"46","ENSG00000272235","","1",3306636,3310096,"normal"
"47","ENSG00000236679","RPL23AP24","1",347982,348366,"normal"
"48","ENSG00000284694","","1",4479131,4484375,"normal"
"49","ENSG00000162441","LZIC","1",9922113,9943407,"normal"
"50","ENSG00000230021","","1",586071,827796,"normal"
"51","ENSG00000271264","MZT1P1","1",9780822,9781240,"normal"
"52","ENSG00000287356","","1",2315040,2323085,"normal"
"53","ENSG00000224387","","1",2492300,2493258,"normal"
"54","ENSG00000285629","","1",6159430,6197757,"normal"
"55","ENSG00000173673","HES3","1",6244179,6245578,"normal"
"56","ENSG00000227372","TP73-AS1","1",3735511,3747373,"normal"
"57","ENSG00000142583","SLC2A5","1",9035106,9088478,"normal"
"58","ENSG00000223663","NDUFB4P8","1",1378666,1379032,"normal"
"59","ENSG00000284674","LINC02781","1",4973381,4981568,"normal"
"60","ENSG00000272161","","1",2326201,2326693,"normal"
"61","ENSG00000237094","","1",365389,522928,"normal"
"62","ENSG00000224338","MTCYBP45","1",11425257,11425821,"normal"
"63","ENSG00000074800","ENO1","1",8861000,8879190,"normal"
"64","ENSG00000116786","PLEKHM2","1",15684320,15734769,"normal"
"65","ENSG00000287727","","1",10612222,10616452,"normal"
"66","ENSG00000176022","B3GALT6","1",1232237,1235041,"normal"
"67","ENSG00000223989","","1",9848318,9850154,"normal"
"68","ENSG00000228423","","1",8805860,8807051,"normal"
"69","ENSG00000286448","","1",266855,268655,"normal"
"70","ENSG00000162496","DHRS3","1",12567910,12618210,"normal"
"71","ENSG00000237365","","1",7008376,7014279,"normal"
"72","ENSG00000131686","CA6","1",8945867,8975092,"normal"
"73","ENSG00000229305","","1",8189824,8192770,"normal"
"74","ENSG00000284703","","1",4012921,4019508,"normal"
"75","ENSG00000226457","RPL22P3","1",16369150,16369530,"normal"
"76","ENSG00000162494","LRRC38","1",13474973,13514003,"normal"
"77","ENSG00000173614","NMNAT1","1",9943428,9985501,"normal"
"78","ENSG00000248527","MTATP6P1","1",633696,634376,"normal"
"79","ENSG00000237728","CAMTA1-AS2","1",7382487,7389754,"normal"
"80","ENSG00000215720","MFFP1","1",15191828,15192845,"normal"
"81","ENSG00000279804","PRAMEF18","1",13222705,13226106,"normal"
"82","ENSG00000241326","","1",9983141,9984568,"normal"
"83","ENSG00000285701","","1",9900614,9908034,"normal"
"84","ENSG00000233623","PGAM1P11","1",10058671,10059648,"normal"
"85","ENSG00000162592","CCDC27","1",3746460,3771645,"normal"
"86","ENSG00000116254","CHD5","1",6101787,6180321,"normal"
"87","ENSG00000049245","VAMP3","1",7771296,7781432,"normal"
"88","ENSG00000233645","","1",8218190,8220529,"normal"
"89","ENSG00000234064","PRAMEF29P","1",12926162,12928253,"normal"
"90","ENSG00000204624","DISP3","1",11479155,11537551,"normal"
"91","ENSG00000284708","","1",11623558,11643416,"normal"
"92","ENSG00000171603","CLSTN1","1",9728926,9823984,"normal"
"93","ENSG00000280113","","1",9826289,9828271,"normal"
"94","ENSG00000142606","MMEL1","1",2590639,2633016,"normal"
"95","ENSG00000235146","","1",587629,594768,"normal"
"96","ENSG00000162572","SCNN1D","1",1280436,1292029,"normal"
"97","ENSG00000225931","","1",2566410,2569888,"normal"
"98","ENSG00000236601","","1",358857,366052,"normal"
"99","ENSG00000171729","TMEM51","1",15152532,15220478,"normal"
"100","ENSG00000228150","","1",9942923,9949974,"normal"
